genres,keywords,original_language,overview,tagline,title,vote_average,combined_text
"Comedy, Drama, Romance","puberty, high school, make a match, spoiled child, gay interest, conflict, woman director",en,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",Sex. Clothes. Popularity. Is there a problem here?,Clueless,6.9,"Clueless Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him. Sex. Clothes. Popularity. Is there a problem here? Comedy, Drama, Romance puberty, high school, make a match, spoiled child, gay interest, conflict, woman director"
"Drama, War","iraq, iraq war",en,Redacted is a film written and directed by Brian De Palma that is a fictional drama loosely based on the Mahmudiyah killings in Iraq.,,Redacted,6.2,"Redacted Redacted is a film written and directed by Brian De Palma that is a fictional drama loosely based on the Mahmudiyah killings in Iraq.  Drama, War iraq, iraq war"
"Drama, Crime","epilepsy, protection money, secret love, money, redemption",en,"A small-time hood must choose from among love, friendship and the chance to rise within the mob.",You don't make up for your sins in church. You do it in the streets...,Mean Streets,7.2,"Mean Streets A small-time hood must choose from among love, friendship and the chance to rise within the mob. You don't make up for your sins in church. You do it in the streets... Drama, Crime epilepsy, protection money, secret love, money, redemption"
Family,,en,"This is the story of Doogal, an adorable candy-loving mutt who goes on a mission to save the world.",Things are about to get hairy.,Doogal,3.2,"Doogal This is the story of Doogal, an adorable candy-loving mutt who goes on a mission to save the world. Things are about to get hairy. Family "
"Action, Adventure, Crime, Mystery","detective, scotland yard, coffin, black magic, arrest, partner, sherlock holmes, murder, steampunk, pentagram, clue",en,"Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.",Nothing escapes him.,Sherlock Holmes,7.0,"Sherlock Holmes Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England. Nothing escapes him. Action, Adventure, Crime, Mystery detective, scotland yard, coffin, black magic, arrest, partner, sherlock holmes, murder, steampunk, pentagram, clue"
"Drama, Music","hotel room, san diego, drug addiction, stewardess, overdose, groupie, music journalist, black sabbath, rock, concert, swimming pool, based on true story, promiscuity, coming of age, on the road, domineering mother, reconciliation, semi autobiographical, innocence lost, bus trip, aspiring writer",en,"Almost Famous is an autobiographical inspired film about a 15-year-old who is hired by Rolling Stone magazine to follow and interview a rock band during their tour. A film about growing up, first love, disappointment, and the life of a rock star.",Experience it. Enjoy it. Just don't fall for it.,Almost Famous,7.4,"Almost Famous Almost Famous is an autobiographical inspired film about a 15-year-old who is hired by Rolling Stone magazine to follow and interview a rock band during their tour. A film about growing up, first love, disappointment, and the life of a rock star. Experience it. Enjoy it. Just don't fall for it. Drama, Music hotel room, san diego, drug addiction, stewardess, overdose, groupie, music journalist, black sabbath, rock, concert, swimming pool, based on true story, promiscuity, coming of age, on the road, domineering mother, reconciliation, semi autobiographical, innocence lost, bus trip, aspiring writer"
"Comedy, Crime","vandalism, high school, swimming pool, party, teen movie, teenager, dog, high school student, fake documentary, sex doll, lime, underwater photography, bouncy castle, flash grenade",en,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",Witness it,Project X,6.5,"Project X Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads. Witness it Comedy, Crime vandalism, high school, swimming pool, party, teen movie, teenager, dog, high school student, fake documentary, sex doll, lime, underwater photography, bouncy castle, flash grenade"
"Adventure, Action, Thriller, Mystery","riddle, treasure, treasure hunt, archaeologist, archeology ",en,"Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.",The greatest adventure history has ever revealed.,National Treasure,6.4,"National Treasure Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do. The greatest adventure history has ever revealed. Adventure, Action, Thriller, Mystery riddle, treasure, treasure hunt, archaeologist, archeology "
"Drama, Mystery, Thriller, Crime","judge, professor, mission of murder, supreme court",en,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,The Pelican Brief,6.3,"The Pelican Brief Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead. Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead. Drama, Mystery, Thriller, Crime judge, professor, mission of murder, supreme court"
Comedy,"sport, handicap, sexual favor, star spangled banner, bowling team, hair loss, biblical interpretation, comb over, female stripper, inflatable doll, combover, unlikely lovers, kingpin, carriage, lancaster, pa",en,"After bowler Roy Munson swindles the wrong crowd and is left with a hook for a hand, he settles into impoverished obscurity. That is, until he uncovers the next big thing: an Amish kid named Ishmael. So, the corrupt and the hopelessly naïve hit the circuit intent on settling an old score with Big Ern.",You wouldn't want to meet these pinheads in an alley.,Kingpin,6.7,"Kingpin After bowler Roy Munson swindles the wrong crowd and is left with a hook for a hand, he settles into impoverished obscurity. That is, until he uncovers the next big thing: an Amish kid named Ishmael. So, the corrupt and the hopelessly naïve hit the circuit intent on settling an old score with Big Ern. You wouldn't want to meet these pinheads in an alley. Comedy sport, handicap, sexual favor, star spangled banner, bowling team, hair loss, biblical interpretation, comb over, female stripper, inflatable doll, combover, unlikely lovers, kingpin, carriage, lancaster, pa"
